"Född i Sverige eller utlandet 2008-2015"

"Område","Ålder","Kön","Född i Sverige 2008","Född i Sverige 2009","Född i Sverige 2010","Född i Sverige 2011","Född i Sverige 2012","Född i Sverige 2013","Född i Sverige 2014","Född i Sverige 2015","Född i utlandet 2008","Född i utlandet 2009","Född i utlandet 2010","Född i utlandet 2011","Född i utlandet 2012","Född i utlandet 2013","Född i utlandet 2014","Född i utlandet 2015"
"137 Västra Göteborg","25-44 år","Man",4383,4340,4271,4253,4264,4324,4318,4370,1171,1235,1276,1319,1376,1398,1448,1474
"137 Västra Göteborg","25-44 år","Kvinna",4589,4530,4453,4426,4429,4410,4437,4457,1326,1344,1432,1498,1541,1569,1609,1623
"137 Västra Göteborg","45-64 år","Man",5801,5764,5658,5671,5601,5492,5426,5327,1002,1026,1057,1130,1147,1186,1232,1251
"137 Västra Göteborg","45-64 år","Kvinna",5897,5830,5742,5645,5603,5561,5501,5452,1077,1113,1156,1232,1257,1276,1309,1348
"137 Västra Göteborg","65-74 år","Man",2070,2189,2340,2402,2448,2501,2559,2575,272,275,292,301,291,293,299,318
"137 Västra Göteborg","65-74 år","Kvinna",2174,2293,2395,2481,2561,2594,2647,2696,265,268,268,287,283,300,296,320
"137 Västra Göteborg","75-84 år","Man",1204,1181,1162,1150,1167,1203,1240,1282,144,145,140,142,147,164,175,182
"137 Västra Göteborg","75-84 år","Kvinna",1447,1430,1413,1413,1436,1449,1470,1519,186,187,190,177,189,183,202,189
"137 Västra Göteborg","85- år","Man",372,387,430,451,466,456,451,443,25,31,36,46,48,42,41,46
"137 Västra Göteborg","85- år","Kvinna",628,660,683,700,713,739,716,727,52,56,59,62,64,70,76,90
"138 Västra Hisingen","0 år","Man",393,388,437,387,428,389,383,408,..,..,..,..,..,6,..,..
"138 Västra Hisingen","0 år","Kvinna",345,371,383,374,356,364,329,350,..,..,..,..,..,8,..,5
"138 Västra Hisingen","1-5 år","Man",1800,1870,1879,1977,1982,2041,2057,2043,64,61,72,73,87,116,135,135
"138 Västra Hisingen","1-5 år","Kvinna",1780,1815,1849,1874,1851,1847,1873,1845,72,73,94,95,101,95,120,127
"138 Västra Hisingen","6-15 år","Man",2884,2899,2981,3000,3099,3178,3245,3339,229,261,293,325,378,431,512,567
"138 Västra Hisingen","6-15 år","Kvinna",2757,2771,2792,2847,2931,3043,3079,3168,210,236,250,298,341,433,486,551
"138 Västra Hisingen","16-18 år","Man",875,897,883,820,776,774,779,793,114,94,110,120,144,163,181,218
"138 Västra Hisingen","16-18 år","Kvinna",875,847,853,821,774,731,746,729,101,103,108,119,129,136,165,203
"138 Västra Hisingen","19-24 år","Man",1507,1548,1559,1624,1636,1619,1516,1496,471,475,449,424,437,421,461,498
"138 Västra Hisingen","19-24 år","Kvinna",1558,1597,1613,1600,1644,1596,1534,1447,492,490,510,531,508,467,484,467
"138 Västra Hisingen","25-44 år","Man",5103,5051,5047,4973,4818,4816,4770,4735,2338,2443,2611,2721,2826,2945,3160,3359
"138 Västra Hisingen","25-44 år","Kvinna",4970,4931,4916,4880,4805,4789,4742,4764,2236,2309,2421,2553,2671,2789,2942,3041
"138 Västra Hisingen","45-64 år","Man",3998,4085,4137,4202,4276,4312,4368,4468,1772,1825,1897,1979,2003,2013,2045,2105
"138 Västra Hisingen","45-64 år","Kvinna",3763,3820,3852,3879,3937,3987,4025,4081,1605,1666,1736,1770,1834,1851,1916,1940
"138 Västra Hisingen","65-74 år","Man",1248,1279,1337,1376,1397,1433,1448,1482,477,490,503,525,560,584,606,602
"138 Västra Hisingen","65-74 år","Kvinna",1289,1323,1379,1433,1443,1450,1493,1501,441,451,451,477,488,507,525,553
"138 Västra Hisingen","75-84 år","Man",799,790,784,774,753,765,754,741,215,216,219,236,251,264,269,283
"138 Västra Hisingen","75-84 år","Kvinna",1015,988,955,957,947,925,900,876,288,299,312,311,325,325,338,331
"138 Västra Hisingen","85- år","Man",234,256,266,269,262,259,256,269,36,38,41,45,52,52,53,52
"138 Västra Hisingen","85- år","Kvinna",453,477,455,476,468,484,495,515,62,64,76,82,80,89,99,104
"139 Lundby","0 år","Man",250,279,283,306,304,328,359,363,..,..,..,..,..,..,..,..
"139 Lundby","0 år","Kvinna",219,299,301,298,312,334,329,317,..,..,..,..,..,5,..,..
"139 Lundby","1-5 år","Man",877,961,1018,1054,1162,1236,1284,1348,34,39,37,38,53,68,73,72
"139 Lundby","1-5 år","Kvinna",813,848,993,1078,1134,1190,1237,1249,32,36,30,33,47,46,53,60
"139 Lundby","6-15 år","Man",1194,1229,1259,1319,1352,1436,1497,1606,85,85,102,112,121,135,173,205
"139 Lundby","6-15 år","Kvinna",1237,1257,1249,1266,1306,1405,1469,1592,100,97,120,118,142,161,189,190
"139 Lundby","16-18 år","Man",502,493,476,439,431,408,410,386,57,50,43,45,49,75,72,115
"139 Lundby","16-18 år","Kvinna",445,483,475,475,447,412,395,407,45,45,48,49,51,60,83,74
"139 Lundby","19-24 år","Man",1698,1788,1935,1952,1980,1996,2049,1990,305,326,298,286,265,271,275,302
"139 Lundby","19-24 år","Kvinna",1890,2000,2027,2178,2186,2263,2222,2230,337,336,326,299,280,272,281,288
"139 Lundby","25-44 år","Man",5697,5877,6036,6220,6447,6835,7058,7465,1672,1761,1851,1988,2178,2360,2509,2649
"139 Lundby","25-44 år","Kvinna",4789,4925,5043,5150,5422,5708,5961,6365,1618,1720,1844,1974,2124,2280,2427,2594
"139 Lundby","45-64 år","Man",3362,3536,3537,3618,3719,3826,3949,4085,1290,1354,1424,1451,1474,1512,1555,1624
"139 Lundby","45-64 år","Kvinna",3011,3164,3314,3413,3510,3612,3744,3891,1137,1190,1221,1282,1327,1420,1485,1561
"139 Lundby","65-74 år","Man",913,961,1064,1130,1214,1309,1403,1455,358,373,389,411,439,488,503,516
"139 Lundby","65-74 år","Kvinna",1016,1064,1113,1172,1199,1332,1393,1469,304,318,333,351,373,391,421,452
"139 Lundby","75-84 år","Man",708,691,658,643,633,615,607,632,139,148,167,173,187,202,216,238
"139 Lundby","75-84 år","Kvinna",1020,990,961,930,917,899,878,869,180,197,196,201,206,217,232,246
"139 Lundby","85- år","Man",284,268,263,274,264,273,282,283,24,28,29,30,25,32,44,53
"139 Lundby","85- år","Kvinna",596,598,605,591,578,564,540,529,63,62,69,75,80,81,92,101
"140 Norra Hisingen","0 år","Man",317,306,301,273,302,322,310,323,..,..,..,..,..,..,..,..
"140 Norra Hisingen","0 år","Kvinna",251,295,292,259,305,281,283,265,..,..,..,..,..,..,..,..
"140 Norra Hisingen","1-5 år","Man",1465,1520,1530,1581,1542,1563,1575,1561,26,29,32,40,46,46,56,61
"140 Norra Hisingen","1-5 år","Kvinna",1334,1357,1425,1484,1450,1459,1490,1509,36,37,36,44,59,38,48,66
"140 Norra Hisingen","6-15 år","Man",2637,2602,2581,2570,2591,2655,2771,2823,150,161,166,168,190,197,204,274
"140 Norra Hisingen","6-15 år","Kvinna",2393,2362,2286,2282,2383,2461,2540,2611,141,174,188,206,212,230,235,276
"140 Norra Hisingen","16-18 år","Man",904,864,876,836,819,756,736,719,95,87,74,84,101,100,105,137
"140 Norra Hisingen","16-18 år","Kvinna",812,809,831,837,742,665,605,644,76,78,72,86,94,87,98,127
"140 Norra Hisingen","19-24 år","Man",1410,1503,1548,1624,1649,1686,1723,1686,358,366,352,325,318,295,323,316
"140 Norra Hisingen","19-24 år","Kvinna",1332,1358,1461,1543,1586,1654,1699,1617,346,372,365,330,309,303,311,297
"140 Norra Hisingen","25-44 år","Man",4553,4505,4482,4432,4385,4364,4332,4361,1759,1857,1902,1965,2073,2164,2272,2420
"140 Norra Hisingen","25-44 år","Kvinna",4313,4237,4161,4091,4069,4081,4109,4146,1923,2033,2118,2201,2286,2367,2503,2635
"140 Norra Hisingen","45-64 år","Man",4066,4028,3958,3888,3875,3882,3841,3803,1632,1729,1781,1818,1839,1869,1891,1972
"140 Norra Hisingen","45-64 år","Kvinna",4164,4075,4023,3948,3851,3786,3697,3668,1656,1718,1763,1840,1887,1950,1999,2027
"140 Norra Hisingen","65-74 år","Man",1505,1594,1676,1751,1782,1814,1814,1800,556,573,594,621,634,629,649,656
"140 Norra Hisingen","65-74 år","Kvinna",1779,1833,1911,1989,2047,2014,2047,2016,479,488,498,525,561,600,633,675
"140 Norra Hisingen","75-84 år","Man",917,923,925,935,929,927,941,956,184,200,222,239,262,280,309,330
"140 Norra Hisingen","75-84 år","Kvinna",1269,1255,1262,1253,1247,1255,1251,1255,270,295,310,318,331,324,334,336
